Num,MSE
271,0.294785
272,0.294605
273,0.294424
274,0.294245
275,0.294065
276,0.293886
277,0.293707
278,0.293529
279,0.293350
280,0.293173
281,0.292995
282,0.292817
283,0.292640
284,0.292463
285,0.292286
286,0.292109
287,0.291932
288,0.291755
289,0.291579
290,0.291403
291,0.291226
292,0.291050
293,0.290874
294,0.290697
295,0.290521
296,0.290344
297,0.290168
298,0.289991
299,0.289814
300,0.289637
301,0.289460
302,0.289283
303,0.289106
304,0.288928
305,0.288750
306,0.288572
307,0.288394
308,0.288216
309,0.288037
310,0.287859
311,0.287680
312,0.287501
313,0.287321
314,0.287142
315,0.286962
316,0.286781
317,0.286601
318,0.286419
319,0.286238
320,0.286056
321,0.285874
322,0.285690
323,0.285507
324,0.285322
325,0.285138
326,0.284952
327,0.284766
328,0.284580
329,0.284392
330,0.284204
331,0.284015
332,0.283825
333,0.283635
334,0.283443
335,0.283251
336,0.283058
337,0.282865
338,0.282670
339,0.282474
340,0.282278
341,0.282080
342,0.281882
343,0.281683
344,0.281482
345,0.281280
346,0.281077
347,0.280873
348,0.280667
349,0.280461
350,0.280252
351,0.280044
352,0.279833
353,0.279621
354,0.279407
355,0.279192
356,0.278975
357,0.278757
358,0.278538
359,0.278318
360,0.278099
361,0.277877
362,0.277656
363,0.277431
364,0.277204
365,0.276978
366,0.276748
367,0.276517
368,0.276286
369,0.276051
370,0.275815
371,0.275578
372,0.275339
373,0.275098
374,0.274858
375,0.274616
376,0.274373
377,0.274129
378,0.273885
379,0.273640
380,0.273393
381,0.273148
382,0.272899
383,0.272651
384,0.272401
385,0.272153
386,0.271901
387,0.271650
388,0.271400
389,0.271147
390,0.270895
391,0.270641
392,0.270387
393,0.270132
394,0.269876
395,0.269620
396,0.269362
397,0.269104
398,0.268847
399,0.268587
400,0.268327
401,0.268067
402,0.267806
403,0.267546
404,0.267284
405,0.267021
406,0.266758
407,0.266496
408,0.266230
409,0.265966
410,0.265698
411,0.265433
412,0.265165
413,0.264898
414,0.264628
415,0.264358
416,0.264088
417,0.263817
418,0.263544
419,0.263273
420,0.262998
421,0.262724
422,0.262446
423,0.262169
424,0.261892
425,0.261612
426,0.261330
427,0.261049
428,0.260765
429,0.260480
430,0.260196
431,0.259908
432,0.259619
433,0.259329
434,0.259037
435,0.258743
436,0.258450
437,0.258153
438,0.257855
439,0.257555
440,0.257253
441,0.256953
442,0.256650
443,0.256343
444,0.256033
445,0.255725
446,0.255414
447,0.255100
448,0.254785
449,0.254469
450,0.254151
451,0.253833
452,0.253512
453,0.253189
454,0.252865
455,0.252540
456,0.252212
457,0.251886
458,0.251555
459,0.251221
460,0.250889
461,0.250555
462,0.250218
463,0.249878
464,0.249542
465,0.249200
466,0.248858
467,0.248514
468,0.248170
469,0.247823
470,0.247481
471,0.247138
472,0.246792
473,0.246443
474,0.246092
475,0.245743
476,0.245394
477,0.245048
478,0.244699
479,0.244347
480,0.243998
481,0.243647
482,0.243296
483,0.242943
484,0.242591
485,0.242238
486,0.241889
487,0.241537
488,0.241184
489,0.240835
490,0.240483
491,0.240131
492,0.239782
493,0.239431
494,0.239080
495,0.238734
496,0.238385
497,0.238036
498,0.237687
499,0.237339
500,0.236991
501,0.236644
502,0.236298
503,0.235954
504,0.235609
505,0.235264
506,0.234923
507,0.234582
508,0.234239
509,0.233898
510,0.233557
511,0.233217
512,0.232877
513,0.232539
514,0.232202
515,0.231864
516,0.231528
517,0.231193
518,0.230857
519,0.230525
520,0.230192
521,0.229862
522,0.229532
523,0.229201
524,0.228871
525,0.228543
526,0.228217
527,0.227891
528,0.227565
529,0.227240
530,0.226916
531,0.226593
532,0.226272
533,0.225952
534,0.225631
535,0.225311
536,0.224994
537,0.224677
538,0.224361
539,0.224046
540,0.223732
541,0.223418
542,0.223104
543,0.222794
544,0.222484
545,0.222173
546,0.221864
547,0.221557
548,0.221251
549,0.220944
550,0.220638
551,0.220333
552,0.220031
553,0.219729
554,0.219428
555,0.219129
556,0.218830
557,0.218531
558,0.218233
559,0.217936
560,0.217640
561,0.217345
562,0.217051
563,0.216757
564,0.216464
565,0.216174
566,0.215884
567,0.215595
568,0.215306
569,0.215018
570,0.214732
571,0.214446
572,0.214161
573,0.213877
574,0.213593
575,0.213311
576,0.213031
577,0.212751
578,0.212471
579,0.212192
580,0.211916
581,0.211640
582,0.211364
583,0.211088
584,0.210814
585,0.210539
586,0.210266
587,0.209994
588,0.209723
589,0.209453
590,0.209183
591,0.208914
592,0.208646
